Personal Hate	এদের কারনে এলিয়েনরা পৃথিবীতে বেড়াতে আসে না।
Personal Hate	এই গান গুলা হুইন্না আমি এখন আমি পাবনা তে আসি
Personal Hate	ভাই, ছোট আজাদ, চুদনাপানা না করলেই কি না? 
Personal Hate	সব মাদার চোদ। সালারা তোদের কাছ থেকে কি শিখব 
Personal Hate	বাইরে থাক আর গুঁতাগুঁতি কর।
Personal Hate	ইংলিশ এ মিয়া খলিফা গাঁজা টানে আর বাঙালিরারা টানলেই দোষ ধইরা ফেল্লা
Personal Hate	আসোলে তুমি নিজেই বলসিলা বাংগালি না আমরা। জাতটাই ত খারাপ
Personal Hate	আর আমাদের এই খাইস্টা জাতের মধ্যে তুমিও পড় সো রক্ত ত মিশশা আসেই জিনিস টা
Personal Hate	শালা তুই সালমান রিদিয়া আসিফ,সব পাকনা,পাকনা পুলাপাইন।
Personal Hate	এসব আবাল গুলা আমাদের সুন্দর বিনোদন থেকে দূরে রাখে। 
Personal Hate	মোবাইলের দাম কমানো টা ঠিক হয়নাই এই কারনে গরু ছাগলরা মোবাইল কিনে এমন ভাবে বাংলা লেখে 
Personal Hate	ভিডিও বানানোর আর কোনো কিছু পাও না বুঝি, তাই এখন আসছো হুদাই ফাইজলামি করতে
Personal Hate	আমাদের দেয়ের ইউটিউবার গুলো কি পাগোল না ছাগল। এগুলোর তো পাবনাতেও জায়গা হবে না
Personal Hate	তুই কোন ভালো মানুষের বাচ্চা যে তুই অন্যের কাজ নিয়া সমালোচনা করিস।
Personal Hate	আবাসিক হোটেল নামক যেই নাটক টা করতেসিস, সেইটা দেখে মনে হয় তোদের জন্ম ওপেন রাস্তা ঘাটে হইছে। যার জন্য এমন নোংরামী করতে তোদের বিবেকে বাদে না। 
Personal Hate	আগে নিজে লুচ্চামি ছাড়, ভালো হ।মানুষের জন্য ভালো কিছু কর,তারপর অন্যদের উপদেশ দিস অথবা অন্যের কাজের সমালোচনা করিস।
Personal Hate	অসভ্য,লম্পট, নোংরা কোথাকার।
Personal Hate	দেখ চুদির ভাই শিরোনাম দিছে কি! এমনিই কি রোস্ট হয় সালারা। 
Personal Hate	এখন আমার হাগা হাইগা দিবি নইলে তুই ঠাডা পইরা মরবি
Personal Hate	মেধাহীন আবাল আর দেখতে চাই না। 
Personal Hate	তোমাগো মতো পোলা পানের জন্য আজ কে দেশের ইউটিউব এর এই অবস্থা
Personal Hate	শামীম হাসান সরকার আমি মনে করি না আপনার আছে দরকার।
Personal Hate	সব গুলো আজাইরা ভিডিও এক সাথে করে নিজে ফায়দা লুটে নিলেন।
Personal Hate	এর থেকে মাহফুজুর রহমান ও ভালো
Personal Hate	৩ নাম্বার মাল টার পাজামার ফিতা বের হয়ে আছে
Personal Hate	হেডার ঘরে হেডার মাইয়া বালের মাইয়া
Personal Hate	ওদের হোগায় বরিশাল এর আ ছোলা বাশ দেয়া হোক
Personal Hate	ভাই তোমারে তো চুরের মত লাগে.
Personal Hate	শালা আজাইরা ভিডিও বানাও কেন 
Personal Hate	সিয়াম একটা পাডার পো পাডা,
Personal Hate	ইসব রেপাররা গঞ্জিকা শেবন করে গান গাই তাই এই অবস্থা।
Personal Hate	এসব শিল্পীদেরকে বিশেষ পুরসকার দেওয়া দরকার
Personal Hate	মাদারচোদ আর মাগির দল 
Personal Hate	এখনকার পোলাপান রে কিছু কইলে যে কয় তারেই পাগল ভেবে নিজেকে বুদ্ধিমান ভাবতে থাকে। 
Personal Hate	আজাইরা আলাপ কম কইরা পারলে ভালা কিছু নিয়া কথা কইয়া দেখাইও ফাউল মিয়া
Personal Hate	এগুলা পাগলাগারদ এর বাইরে আসলো কিভাবে
Personal Hate	তুমি আবাল ছিলা আবাল আছো আর আবালই থাকবা
Personal Hate	দেশের মানুষ এই সব খবিশ দের সহ্য করে কিভাবে বুঝিনা ।
Personal Hate	কোন গ্রহের মানুল এরা ?
Personal Hate	ভাই এগুলারে পাবনার মানসিক হাসপাতালে ভর্তি করানো উচিত। 
Personal Hate	শালীর কথা শুনলে গা জলে তাকে দেখে মনে হয় সে মাগি
Personal Hate	আড়া চোদা রেপার গোরে পুটকি মারতে মন চায়
Personal Hate	সিফাত উল্লাহ এগুলো দেখাই ২য় বার হার্টফেল করবে
Personal Hate	রাপ্পিযং এর জগতে আপনার সালমান মোক্তাদির, সম্রাট ভাই এর চুলের কাছেও নাই
Personal Hate	আবালদের রেপ শুনে কান পছে গেছে
Personal Hate	মিয়া ইউটিউব এ সাবস্ক্রাইব পাও না তাই ওদের মতো মানুষ কে ব্যবহার কইরা সাবস্ক্রাইব নাও তোমরা
Personal Hate	টুকাই সালা এহন কোরিয়ান হেয়ার স্টাইল করতেসে
Personal Hate	সৌভিকের যে বন্ধু এখানে রিপ্লাই দিয়ে গালাগাল দিবে,তার মায়ের ভোদার ভিত্রে ধোন হান্দাইয়া কাম রস বাইর করমু
Personal Hate	তুই মরবি, হাসপাতাল নিয়ে যাবার জন্য সবাই কে ডাকবি কিন্তু কাউকে পাবি না, সবাই ভাববে প্রাংক। 
Personal Hate	কি যে আউল ফাউল ইংলিশ বলিস তোরা।বাংলাটাই আগে ঠিক মতো বলা শিখ হারামজাদা
Personal Hate	ভাই বাংলাদেশের যে এত্ত শিল্পীর উদয় হইছে আজ জানলাম।
Personal Hate	আরে মিয়া ভাই মুখটা অন্তত সাবান বা ফেস ওয়াশ দিয়ে ধুয়ে আস।
Personal Hate	দেরকে এ্যাওয়ার্ড হিসেবে পুরাতন বদনা দেওয়া হক। 
Personal Hate	এই বাইনচোদ টা কেমনে ক্যামেরার সামনে আসে,গরু পিটানো লাঠির মাইর খাইয়া হয় নাই!!? 
Personal Hate	জেফারের মাথা কামাই দিতে ইচ্ছা করে 
Personal Hate	আজাইরা যেটা পারো না সেটা চেস্টা করো কেন হুদাই
Personal Hate	আমার হেডার তামাশা কল
Personal Hate	বালডা বাংলায় কইলে কি হেতির বাল ছোট হইয়া যাইত!
Personal Hate	এই কুত্তাডারে এই চ্যানেল এ কে আনছে???
Personal Hate	আর কি বালের তামাশা কল এই গুলা। 
Personal Hate	তর কালো পাছার দাগ কি গেছে
Personal Hate	বাল গুনে ছেড়ে দিলেও ম্যাগাজিন অনুষ্ঠান। 
Personal Hate	তৌহিদ,সালমান,এই বর্তমানে যেটার ভিডিও দেখছি এই ফকিন্নির নাম জানি না,এনিওয়ে সবগুলার চ্যানেল আনসাবস্ক্রাইব করতেছি।
Personal Hate	সব বলদের বলদা মার্কা প্রশ্ন।
Personal Hate	শালা বাঞ্চত বালের ভিডিও বানাস।
Personal Hate	জংলি মুরগির বাচ্চারে একটু দেখি
Personal Hate	আর মানুষ পাইলি না জাফর বালডা রে কল দিছোস 
Personal Hate	শালা রাজাকারের বাচ্চা আর মাগি
Personal Hate	বাশডলা খেয়ে বলে আমি কি করছি, আমি কি করছি।,আবুইল্লা হালা 
Personal Hate	কুত্তার গু মার্কা প্র্যাঙ্ক কল এর ভিডিও করে
Personal Hate	যেমনে খারাপ কথা কস...ঘর থেকে বের করে দিবে..
Personal Hate	স্পর্শিয়া সে কি মহিলা নাকি অন্যকিছু আমার এনাফ ডাউট আছে।
Personal Hate	তোমার বাল আমার বাল।আর কিছু কমু না।আবাল শালা
Personal Hate	আবালের ইংলিশ শালা
Personal Hate	শামিম ভাই আপনি একজন চরম চাপাবাজ
Personal Hate	তোরে এক্কেবারে চোরের মতো লাগতেছে
Personal Hate	গরুর হাটের ধোলাই ও মাফ চাওয়াটা কেমন ছিলো!!! আবাল? 
Personal Hate	কিরে শালার বাচ্চা বাশের বারির বেথা কি কমে গেছে যে আবার আবলামু করতে আসছিস
Personal Hate	শেষের টা খানকীর পোলা
Personal Hate	ভুদার ভিতর ধোন 
Personal Hate	বাঁশ বাগানের মালিক কি চেটের বাল
